时间,商品住宅施工面积_累计值,商品住宅施工面积_累计增长,商品住宅新开工施工面积_累计值,商品住宅新开工施工面积_累计增长,商品住宅竣工面积_累计值,商品住宅竣工面积_累计增长
2025年6月,441239.9,-9.4,22288.31,-19.6,16266.21,-15.5
2025年5月,435354.31,-9.6,17088.58,-21.4,13336.88,-17.6
2025年4月,431936.75,-10.1,13163.98,-22.3,11424.29,-16.8
2025年3月,427236.7156,-9.9,9491.9722,-23.9,9501.7229,-14.7
2025年2月,421351.3684,-9.7,4820.9132,-28.9,6328.106,-17.7
2024年9月,501050.6805,-12.7,40745.0213,-22.4,26870.5495,-23.9
2024年8月,496052.4105,-12.6,35908.8066,-23.0,24393.0987,-23.2
2024年7月,491532.4445,-12.7,31683.9607,-23.7,21866.7023,-21.8
2024年6月,487436.6807,-12.5,27747.8362,-23.6,19259.0071,-21.7
2024年12月,513329.5819,-13.1,53660.3734,-23.0,53741.2539,-27.4
2024年11月,508388.7417,-13.1,48989.4949,-23.1,35197.3472,-26.0
2024年10月,504492.6837,-12.9,44568.6557,-22.7,30702.0405,-23.4
