时间,工业生产者出厂价格指数(上年同期=100),煤炭开采和洗选业工业生产者出厂价格指数(上年同期=100),石油和天然气开采业工业生产者出厂价格指数(上年同期=100),黑色金属矿采选业工业生产者出厂价格指数(上年同期=100),有色金属矿采选业工业生产者出厂价格指数(上年同期=100),非金属矿采选业工业生产者出厂价格指数(上年同期=100),开采专业及辅助性活动工业生产者出厂价格指数(上年同期=100),农副食品加工业工业生产者出厂价格指数(上年同期=100),食品制造业工业生产者出厂价格指数(上年同期=100),酒、饮料及精制茶制造业工业生产者出厂价格指数(上年同期=100),烟草制品业工业生产者出厂价格指数(上年同期=100),纺织业工业生产者出厂价格指数(上年同期=100),纺织服装、服饰业工业生产者出厂价格指数(上年同期=100),皮革、毛皮、羽毛及其制品和制鞋业工业生产者出厂价格指数(上年同期=100),木材加工和木、竹、藤、棕、草制品业工业生产者出厂价格指数(上年同期=100),家具制造业工业生产者出厂价格指数(上年同期=100),造纸和纸制品业工业生产者出厂价格指数(上年同期=100),印刷和记录媒介复制业工业生产者出厂价格指数(上年同期=100),文教、工美、体育和娱乐用品制造业工业生产者出厂价格指数(上年同期=100),石油、煤炭及其他燃料加工业工业生产者出厂价格指数(上年同期=100),化学原料和化学制品制造业工业生产者出厂价格指数(上年同期=100),医药制造业工业生产者出厂价格指数(上年同期=100),化学纤维制造业工业生产者出厂价格指数(上年同期=100),橡胶和塑料制品业工业生产者出厂价格指数(上年同期=100),非金属矿物制品业工业生产者出厂价格指数(上年同期=100),黑色金属冶炼和压延加工业工业生产者出厂价格指数(上年同期=100),有色金属冶炼和压延加工业工业生产者出厂价格指数(上年同期=100),金属制品业工业生产者出厂价格指数(上年同期=100),通用设备制造业工业生产者出厂价格指数(上年同期=100),专用设备制造业工业生产者出厂价格指数(上年同期=100),汽车制造业工业生产者出厂价格指数(上年同期=100),铁路、船舶、航空航天和其他运输设备制造业工业生产者出厂价格指数(上年同期=100),电气机械和器材制造业工业生产者出厂价格指数(上年同期=100),计算机、通信和其他电子设备制造业工业生产者出厂价格指数(上年同期=100),仪器仪表制造业工业生产者出厂价格指数(上年同期=100),其他制造业工业生产者出厂价格指数(上年同期=100),废弃资源综合利用业工业生产者出厂价格指数(上年同期=100),金属制品、机械和设备修理业工业生产者出厂价格指数(上年同期=100),电力、热力生产和供应业工业生产者出厂价格指数(上年同期=100),燃气生产和供应业工业生产者出厂价格指数(上年同期=100),水的生产和供应业工业生产者出厂价格指数(上年同期=100)
2025年6月,97.2,84.6,90.4,89.9,117.7,99.5,98.9,96.4,98.7,99.2,100.5,97.7,99.8,100.4,97.4,99.8,96.8,98.5,107.6,90.2,95.6,98.5,94.4,98.3,96.8,89.7,106.2,97.7,98.7,98.6,97.0,100.1,98.3,97.8,99.0,99.6,95.2,103.0,98.6,99.1,101.0
2025年5月,97.4,85.9,91.0,89.7,118.9,99.7,99.0,96.4,98.7,99.1,100.5,97.8,99.8,100.5,97.6,99.9,96.9,98.5,107.5,90.9,95.9,98.6,94.8,98.4,97.0,90.0,107.3,97.8,98.7,98.6,96.8,100.1,98.5,97.9,99.0,99.5,95.7,103.0,98.6,99.0,101.0
2025年4月,97.6,86.8,93.1,88.9,120.0,99.8,98.8,96.3,98.6,99.0,100.5,97.8,99.8,100.5,97.7,99.9,97.0,98.5,107.4,92.3,96.2,98.8,95.3,98.5,96.9,90.0,108.6,97.8,98.7,98.6,96.8,100.2,98.6,97.9,98.9,99.5,96.2,102.9,98.6,98.7,101.0
2025年3月,97.7,87.5,95.6,87.4,120.4,99.7,98.8,96.1,98.4,99.0,100.6,98.0,99.8,100.6,97.8,100.0,97.2,98.4,107.3,93.5,96.3,98.9,96.0,98.5,96.7,89.6,109.4,97.9,98.7,98.6,96.8,100.2,98.6,98.0,98.9,99.5,96.2,102.8,98.6,98.5,101.0
2025年2月,97.8,88.7,97.7,86.5,120.0,99.8,98.4,95.7,98.2,99.0,100.5,98.1,99.9,100.6,98.0,99.9,97.5,98.4,107.2,94.1,96.2,99.0,96.3,98.6,96.8,89.4,109.4,98.0,98.8,98.6,96.9,100.3,98.6,98.2,98.9,99.4,96.1,102.9,98.8,98.0,100.9
2025年1月,97.7,89.9,98.7,86.3,118.9,99.8,98.6,95.7,98.2,98.9,100.5,98.3,100.1,100.5,98.0,99.8,97.4,98.5,106.7,93.8,96.0,98.9,96.6,98.6,97.0,89.3,109.3,98.0,98.8,98.4,96.9,100.2,98.4,98.2,99.0,99.2,96.0,103.2,98.5,97.6,100.8
2024年12月,97.8,91.8,99.6,101.1,113.2,99.1,99.0,96.1,98.7,99.6,100.5,98.9,100.2,100.8,99.2,100.2,96.2,98.7,105.0,95.7,95.9,99.2,99.5,97.8,93.7,93.6,106.4,98.3,99.1,99.1,97.7,100.1,96.7,97.6,98.9,100.2,98.6,101.5,98.3,99.2,100.8
2024年11月,97.9,91.8,100.1,102.3,112.7,99.0,99.0,96.1,98.7,99.7,100.6,98.9,100.2,100.8,99.2,100.3,96.1,98.6,104.9,96.1,95.9,99.2,99.8,97.7,93.4,93.8,106.1,98.3,99.2,99.1,97.9,100.1,96.6,97.6,98.9,100.2,98.7,101.3,98.2,99.3,100.8
2024年10月,97.8931,91.6,101.5,103.5,112.1,99.0,99.0,96.2,98.8,99.8,100.6,99.0,100.2,100.8,99.2,100.3,96.1,98.7,104.8,96.9,96.0,99.2,100.0,97.7,93.0,94.0,105.7,98.3,99.2,99.2,97.9,100.0,96.5,97.6,99.0,100.3,98.7,101.3,98.1,99.3,100.8
2024年9月,98.0,91.3,103.5,104.8,111.6,98.9,99.0,96.3,98.8,99.9,100.6,99.1,100.2,100.8,99.2,100.3,96.1,98.7,104.7,98.2,96.2,99.2,100.2,97.6,92.8,94.2,105.4,98.3,99.2,99.2,98.1,100.0,96.4,97.6,99.1,100.3,98.9,101.2,98.1,99.2,100.9
